Topic,S0_Initial,S0_Final,S0_Change,S1_Initial,S1_Final,S1_Change,Diff_S1_minus_S0
BT,0.517481369562944,0.466631540411491,-0.0508498291514529,0.517481369562944,0.255926100380678,-0.261555269182266,-0.210705440030813
Q,0.570134846715269,0.530121423016532,-0.0400134236987372,-0.128363040689596,0.0308002395382748,0.15916328022787,-0.499321183478257
OM,0.189618900367862,0.299371681414688,0.109752781046826,0.189618900367862,0.213072230119984,0.0234533297521217,-0.0862994512947042
