Topic,S0_Initial,S0_Final,S0_Change
BT,0.517481369562944,0.466631540411491,-0.0508498291514529
Q,0.570134846715269,0.530121423016532,-0.0400134236987372
OM,0.189618900367862,0.299371681414688,0.109752781046826
