Role,Role_Count,S0_Final_BT,S1_Final_BT,BT_Decline_vs_S0
ordinary consumers,990,0.466511882230944,0.25402529960929,0.212486582621653
official agents,2,0.84268469549854,0.842137385108472,0.000547310390068168
eWOM influencers,8,0.387425951482443,0.344597374657935,0.0428285768245078
