Case,Ordinary_final_BT,Official_final_BT,EWOM_final_BT
S0 reference,0.466511882230944,0.84268469549854,0.387425951482443
Quality shock,0.25402529960929,0.842137385108472,0.344597374657935
OM shock,0.296352538113622,0.842250795391826,0.35479191897678
