ExposureRate,ExposedOrdinaryConsumers,FinalBT,BT_Decline_vs_S0
0.25,248,0.32680545573201,0.139826084679481
0.5,495,0.304657168214641,0.16197437219685
1,990,0.255926100380678,0.210705440030813
