ExposureRate,ExposedOrdinaryConsumers,FinalBT,FinalQ,FinalOM,BT_Decline_vs_S0,Q_Change_from_ShockedInitial
0.25,248,0.32680545573201,0.256180114687854,0.241628989026237,0.139826084679481,-0.134754732027415
0.5,495,0.304657168214641,0.183664999205758,0.232696147308212,0.16197437219685,-0.0344719601046469
1,990,0.255926100380678,0.0308002395382748,0.213072230119984,0.210705440030813,0.15916328022787
