Case,S0_final_BT,S1_final_BT,BT_decline_vs_S0
Baseline shared logic,0.466631540411491,0.255926100380678,0.210705440030813
Q-driven BT logic on ordinary,0.493675345639671,0.215475718169169,0.278199627470503
Mild OM-driven on ordinary,0.443541425160363,0.273703780635863,0.1698376445245
